file,entities,size
/Users/marvin/Development/processing_transit_data/data/GTFS_output_0_2020-03-10_13-41-25.txt,8214,20568331
/Users/marvin/Development/processing_transit_data/data/GTFS_output_1_2020-03-10_13-42-26.txt,8180,20539078
/Users/marvin/Development/processing_transit_data/data/GTFS_output_2_2020-03-10_13-43-27.txt,8156,20475910
/Users/marvin/Development/processing_transit_data/data/GTFS_output_3_2020-03-10_13-44-28.txt,8086,20272505
/Users/marvin/Development/processing_transit_data/data/GTFS_output_4_2020-03-10_13-45-29.txt,8071,20322286
/Users/marvin/Development/processing_transit_data/data/GTFS_output_5_2020-03-10_13-46-29.txt,8021,20085706
/Users/marvin/Development/processing_transit_data/data/GTFS_output_6_2020-03-10_13-47-30.txt,8000,20069967
/Users/marvin/Development/processing_transit_data/data/GTFS_output_7_2020-03-10_13-48-31.txt,7998,20124822
/Users/marvin/Development/processing_transit_data/data/GTFS_output_8_2020-03-10_13-49-32.txt,7977,20128163
/Users/marvin/Development/processing_transit_data/data/GTFS_output_9_2020-03-10_13-50-33.txt,7966,20123635
/Users/marvin/Development/processing_transit_data/data/GTFS_output_10_2020-03-10_13-51-34.txt,7955,20079834
/Users/marvin/Development/processing_transit_data/data/GTFS_output_11_2020-03-10_13-52-34.txt,7940,20053052
/Users/marvin/Development/processing_transit_data/data/GTFS_output_12_2020-03-10_13-53-35.txt,7892,19993332
/Users/marvin/Development/processing_transit_data/data/GTFS_output_13_2020-03-10_13-54-36.txt,7872,19974591
/Users/marvin/Development/processing_transit_data/data/GTFS_output_14_2020-03-10_13-55-37.txt,7857,19926126
/Users/marvin/Development/processing_transit_data/data/GTFS_output_15_2020-03-10_13-56-38.txt,7830,19848766
/Users/marvin/Development/processing_transit_data/data/GTFS_output_16_2020-03-10_13-57-39.txt,7810,19803284
/Users/marvin/Development/processing_transit_data/data/GTFS_output_17_2020-03-10_13-58-39.txt,7787,19753708
/Users/marvin/Development/processing_transit_data/data/GTFS_output_18_2020-03-10_13-59-40.txt,7769,19606565
/Users/marvin/Development/processing_transit_data/data/GTFS_output_19_2020-03-10_14-00-41.txt,7736,19395384
/Users/marvin/Development/processing_transit_data/data/GTFS_output_20_2020-03-10_14-01-42.txt,7734,19375513
/Users/marvin/Development/processing_transit_data/data/GTFS_output_21_2020-03-10_14-02-43.txt,8132,20300254
/Users/marvin/Development/processing_transit_data/data/GTFS_output_22_2020-03-10_14-03-44.txt,8206,20464591
/Users/marvin/Development/processing_transit_data/data/GTFS_output_23_2020-03-10_14-04-44.txt,8216,20517898
/Users/marvin/Development/processing_transit_data/data/GTFS_output_24_2020-03-10_14-05-45.txt,8257,20556664
/Users/marvin/Development/processing_transit_data/data/GTFS_output_25_2020-03-10_14-06-46.txt,8285,20668762
/Users/marvin/Development/processing_transit_data/data/GTFS_output_26_2020-03-10_14-07-47.txt,8301,20725556
/Users/marvin/Development/processing_transit_data/data/GTFS_output_27_2020-03-10_14-08-48.txt,8302,20872117
/Users/marvin/Development/processing_transit_data/data/GTFS_output_28_2020-03-10_14-09-49.txt,8326,20974562
/Users/marvin/Development/processing_transit_data/data/GTFS_output_29_2020-03-10_14-10-50.txt,8345,21067219
/Users/marvin/Development/processing_transit_data/data/GTFS_output_30_2020-03-10_14-11-51.txt,8350,21078196
/Users/marvin/Development/processing_transit_data/data/GTFS_output_31_2020-03-10_14-12-52.txt,8315,20977919
/Users/marvin/Development/processing_transit_data/data/GTFS_output_32_2020-03-10_14-13-52.txt,8282,20851742
/Users/marvin/Development/processing_transit_data/data/GTFS_output_33_2020-03-10_14-14-53.txt,8261,20805299
/Users/marvin/Development/processing_transit_data/data/GTFS_output_34_2020-03-10_14-15-54.txt,8253,20789030
/Users/marvin/Development/processing_transit_data/data/GTFS_output_35_2020-03-10_14-16-55.txt,8260,20824156
/Users/marvin/Development/processing_transit_data/data/GTFS_output_36_2020-03-10_14-17-56.txt,8294,20999085
/Users/marvin/Development/processing_transit_data/data/GTFS_output_37_2020-03-10_14-18-57.txt,8329,21182711
/Users/marvin/Development/processing_transit_data/data/GTFS_output_38_2020-03-10_14-19-57.txt,8359,21338528
/Users/marvin/Development/processing_transit_data/data/GTFS_output_39_2020-03-10_14-20-58.txt,8372,21416749
/Users/marvin/Development/processing_transit_data/data/GTFS_output_40_2020-03-10_14-21-59.txt,8390,21597710
/Users/marvin/Development/processing_transit_data/data/GTFS_output_41_2020-03-10_14-23-00.txt,8395,21696719
/Users/marvin/Development/processing_transit_data/data/GTFS_output_42_2020-03-10_14-24-01.txt,8393,21759375
/Users/marvin/Development/processing_transit_data/data/GTFS_output_43_2020-03-10_14-25-02.txt,8386,21844063
/Users/marvin/Development/processing_transit_data/data/GTFS_output_44_2020-03-10_14-26-03.txt,8408,21970077
/Users/marvin/Development/processing_transit_data/data/GTFS_output_45_2020-03-10_14-27-04.txt,8412,22021437
/Users/marvin/Development/processing_transit_data/data/GTFS_output_46_2020-03-10_14-28-05.txt,8435,22079905
/Users/marvin/Development/processing_transit_data/data/GTFS_output_47_2020-03-10_14-29-06.txt,8435,22123905
/Users/marvin/Development/processing_transit_data/data/GTFS_output_48_2020-03-10_14-30-07.txt,8410,22130158
/Users/marvin/Development/processing_transit_data/data/GTFS_output_49_2020-03-10_14-31-08.txt,8388,21959093
/Users/marvin/Development/processing_transit_data/data/GTFS_output_50_2020-03-10_14-32-09.txt,8418,22120697
/Users/marvin/Development/processing_transit_data/data/GTFS_output_51_2020-03-10_14-33-10.txt,8446,22301211
/Users/marvin/Development/processing_transit_data/data/GTFS_output_52_2020-03-10_14-34-11.txt,8469,22427354
/Users/marvin/Development/processing_transit_data/data/GTFS_output_53_2020-03-10_14-35-12.txt,8471,22456937
/Users/marvin/Development/processing_transit_data/data/GTFS_output_54_2020-03-10_14-36-13.txt,8493,22548942
/Users/marvin/Development/processing_transit_data/data/GTFS_output_55_2020-03-10_14-37-14.txt,8492,22631732
/Users/marvin/Development/processing_transit_data/data/GTFS_output_56_2020-03-10_14-38-15.txt,8516,22771393
/Users/marvin/Development/processing_transit_data/data/GTFS_output_57_2020-03-10_14-39-16.txt,8510,22871878
/Users/marvin/Development/processing_transit_data/data/GTFS_output_58_2020-03-10_14-40-17.txt,8538,22977767
/Users/marvin/Development/processing_transit_data/data/GTFS_output_59_2020-03-10_14-41-18.txt,8547,23042087
